id,notification_type,message,is_read,created_at,from_user_id,post_id,reply_id,user_id
303,like,admin liked your post,f,2026-04-03 13:02:06.986319+00,1,24,,33
304,like,Ojasvi liked your post,f,2026-04-03 16:09:38.382929+00,37,53,,41
305,like,Ojasvi liked your post,f,2026-04-03 16:09:48.420074+00,37,54,,31
306,like,Ojasvi liked your post,f,2026-04-03 16:09:57.438889+00,37,55,,41
307,like,Ojasvi liked your post,f,2026-04-03 16:10:05.605099+00,37,56,,41
308,like,Ojasvi liked your post,f,2026-04-03 16:10:12.197133+00,37,57,,42
309,like,Ojasvi liked your post,f,2026-04-03 16:10:26.256313+00,37,58,,42
310,like,Ojasvi liked your post,f,2026-04-03 16:10:35.152203+00,37,60,,47
311,like,Ojasvi liked your post,f,2026-04-03 16:10:52.973872+00,37,61,,47
312,like,Shimpy liked your post,f,2026-04-03 16:16:48.039007+00,32,48,,40
313,like,Ojasvi liked your post,f,2026-04-03 16:43:46.253196+00,37,48,,40
314,reply,Ojasvi replied to your post,f,2026-04-03 16:44:14.291722+00,37,48,28,40
315,like,Anika liked your post,f,2026-04-03 16:53:10.398828+00,39,75,,37
316,like,Anika liked your post,f,2026-04-03 16:53:28.310148+00,39,74,,37
317,like,Anika liked your post,f,2026-04-03 16:53:43.224871+00,39,73,,37
318,like,Anita liked your post,f,2026-04-04 05:29:35.243345+00,41,31,,42
319,reply,Anita replied to your post,f,2026-04-04 05:33:31.275988+00,41,31,29,42
320,like,Ragini liked your post,f,2026-04-04 05:34:44.673823+00,45,114,,41
321,reply,Ragini replied to your post,f,2026-04-04 05:35:21.498898+00,45,114,30,41
322,like,Ragini liked your post,f,2026-04-04 05:35:43.10462+00,45,79,,39
323,like,Ragini liked your post,f,2026-04-04 05:35:44.99932+00,45,78,,39
324,like,Ragini liked your post,f,2026-04-04 05:35:49.793536+00,45,75,,37
325,like,Ragini liked your post,f,2026-04-04 05:35:51.360155+00,45,74,,37
326,like,Ragini liked your post,f,2026-04-04 08:08:12.597263+00,45,20,,33
327,like,Ragini liked your reply,f,2026-04-04 08:08:14.749644+00,45,20,9,32
328,like,Ragini liked your reply,f,2026-04-04 08:08:19.01199+00,45,20,12,37
329,like,Ragini liked your reply,f,2026-04-04 08:08:20.934078+00,45,20,13,37
330,like,Ragini liked your reply,f,2026-04-04 08:08:24.82466+00,45,20,14,37
331,like,Ragini liked your post,f,2026-04-04 08:08:53.103154+00,45,53,,41
332,reply,Ragini replied to your post,f,2026-04-04 08:11:01.349612+00,45,53,31,41
